iter	Passed	Remaining
869	44065	57234
870	44121	57190
871	44175	57144
872	44238	57109
873	44302	57075
874	44369	57046
875	44422	56998
876	44472	56946
877	44522	56895
878	44577	56850
879	44626	56797
880	44685	56756
881	44729	56697
882	44790	56660
883	44834	56601
884	44891	56558
885	44945	56511
886	45001	56466
887	45047	56411
888	45110	56375
889	45155	56316
890	45199	56259
891	45248	56205
892	45299	56154
893	45358	56115
894	45415	56071
895	45466	56021
896	45522	55976
897	45582	55937
898	45640	55895
899	45708	55866
900	45762	55819
901	45815	55770
902	45864	55717
903	45916	55669
904	45981	55634
905	46030	55581
906	46081	55531
907	46140	55489
908	46194	55442
909	46241	55388
910	46299	55345
911	46368	55316
912	46418	55264
913	46469	55214
914	46525	55169
915	46573	55115
916	46630	55072
917	46681	55021
918	46734	54972
919	46781	54917
920	46831	54865
921	46876	54807
922	46927	54757
923	46975	54702
924	47030	54657
925	47082	54607
926	47129	54552
927	47185	54507
928	47244	54465
929	47296	54416
930	47349	54368
931	47403	54320
932	47463	54280
933	47513	54228
934	47558	54170
935	47615	54127
936	47671	54081
937	47754	54067
938	47807	54019
939	47867	53978
940	47919	53927
941	47975	53883
942	48031	53838
943	48094	53800
944	48146	53750
945	48197	53699
946	48268	53671
947	48316	53616
948	48368	53567
949	48421	53518
950	48473	53468
951	48520	53413
952	48570	53361
953	48628	53317
954	48692	53281
955	48743	53230
956	48800	53185
957	48862	53146
958	48915	53098
959	48976	53057
960	49034	53014
961	49089	52967
962	49146	52923
963	49209	52884
964	49305	52882
965	49359	52834
966	49418	52791
967	49477	52749
968	49535	52705
969	49602	52670
970	49666	52632
971	49726	52591
972	49786	52549
973	49847	52508
974	49897	52456
975	49949	52405
976	50007	52361
977	50055	52307
978	50119	52269
979	50178	52226
980	50238	52184
981	50295	52139
982	50357	52099
983	50409	52048
984	50463	52000
985	50528	51963
986	50586	51919
987	50643	51873
988	50704	51832
989	50761	51786
990	50814	51737
991	50873	51694
992	50928	51646
993	50988	51604
994	51046	51559
995	51112	51523
996	51163	51471
997	51217	51422
998	51274	51377
999	51330	51330
1000	51386	51283
1001	51431	51226
1002	51490	51182
1003	51537	51127
1004	51598	51085
1005	51661	51044
1006	51718	50999
1007	51767	50945
1008	51814	50890
1009	51862	50835
1010	51915	50785
1011	51964	50732
1012	52015	50680
1013	52070	50632
1014	52120	50579
1015	52173	50529
1016	52224	50478
1017	52277	50428
1018	52328	50377
1019	52382	50328
1020	52440	50283
1021	52502	50241
1022	52559	50195
1023	52635	50168
1024	52690	50120
1025	52750	50076
1026	52810	50033
1027	52869	49989
1028	52921	49938
1029	52975	49889
