Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
1.837,0.9083481,1.837,35.82,1.837,0,
1.84,0.9,1.84,35.82,1.84,0,
1.844,0.9,1.844,35.82,1.844,0,
1.847,0.9,1.847,35.82,1.847,0,
1.85,0.9,1.85,35.82,1.85,0,
1.854,0.9,1.854,35.82,1.854,0,
1.857,0.9,1.857,35.82,1.857,0,
1.86,0.9,1.86,35.82,1.86,0,
1.864,0.9,1.864,35.82,1.864,0,
1.867,0.9,1.867,35.82,1.867,0,
1.87,0.9,1.87,35.82,1.87,0,
1.874,0.9,1.874,35.82,1.874,0,
1.877,0.9,1.877,35.82,1.877,0,
1.88,0.9,1.88,35.82,1.88,0,
1.884,0.9,1.884,35.82,1.884,0,
1.887,0.9016942,1.887,35.82,1.887,0,
1.891,0.911745,1.891,35.82,1.891,0,
1.894,0.92,1.894,35.82,1.894,0,
1.897,0.92,1.897,35.82,1.897,0,
1.901,0.92,1.901,35.82,1.901,0,
1.904,0.9216072,1.904,35.82,1.904,0,
1.907,0.93,1.907,35.82,1.907,0,
1.911,0.93,1.911,35.82,1.911,0,
1.914,0.93,1.914,35.82,1.914,0,
1.917,0.9317195,1.917,35.82,1.917,0,
1.921,0.94,1.921,35.82,1.921,0,
1.924,0.94,1.924,35.82,1.924,0,
1.927,0.9417278,1.927,35.82,1.927,0,
1.931,0.95,1.931,35.82,1.931,0,
1.934,0.95,1.934,35.82,1.934,0,
1.937,0.95,1.937,35.82,1.937,0,
1.941,0.95,1.941,35.82,1.941,0,
