Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
1.927,133.8683,1.927,0,1.927,0,
1.931,133.8582,1.931,0,1.931,0,
1.934,133.85,1.934,0,1.934,0,
1.937,133.85,1.937,0,1.937,0,
1.941,133.8482,1.941,0,1.941,0,
1.944,133.8384,1.944,0,1.944,0,
1.947,133.83,1.947,0,1.947,0,
1.951,133.83,1.951,0,1.951,0,
1.954,133.83,1.954,0,1.954,0,
1.957,133.8283,1.957,0,1.957,0,
1.961,133.82,1.961,0,1.961,0,
1.964,133.82,1.964,0,1.964,0,
1.967,133.8183,1.967,0,1.967,0,
1.971,133.81,1.971,0,1.971,0,
1.974,133.81,1.974,0,1.974,0,
1.977,133.81,1.977,0,1.977,0,
1.981,133.8064,1.981,0,1.981,0,
1.984,133.79,1.984,0,1.984,0,
1.987,133.79,1.987,0,1.987,0,
1.991,133.7882,1.991,0,1.991,0,
1.994,133.7767,1.994,0,1.994,0,
1.997,133.76,1.997,0,1.997,0,
2.001,133.76,2.001,0,2.001,0,
2.004,133.7583,2.004,0,2.004,0,
2.007,133.7482,2.007,0,2.007,0,
2.011,133.74,2.011,0,2.011,0,
2.014,133.74,2.014,0,2.014,0,
2.017,133.7382,2.017,0,2.017,0,
2.021,133.7282,2.021,0,2.021,0,
2.024,133.72,2.024,0,2.024,0,
2.027,133.72,2.027,0,2.027,0,
2.031,133.7163,2.031,0,2.031,0,
2.034,133.6983,2.034,0,2.034,0,
2.037,133.69,2.037,0,2.037,0,
2.041,133.69,2.041,0,2.041,0,
2.044,133.6883,2.044,0,2.044,0,
2.047,133.6782,2.047,0,2.047,0,
2.051,133.67,2.051,0,2.051,0,
2.054,133.67,2.054,0,2.054,0,
2.057,133.6664,2.057,0,2.057,0,
2.061,133.6481,2.061,0,2.061,0,
2.064,133.64,2.064,0,2.064,0,
2.067,133.64,2.067,0,2.067,0,
2.071,133.6381,2.071,0,2.071,0,
2.074,133.6283,2.074,0,2.074,0,
2.077,133.62,2.077,0,2.077,0,
2.081,133.6181,2.081,0,2.081,0,
2.084,133.6065,2.084,0,2.084,0,
2.087,133.59,2.087,0,2.087,0,
2.091,133.59,2.091,0,2.091,0,
2.094,133.5883,2.094,0,2.094,0,
2.097,133.5782,2.097,0,2.097,0,
2.101,133.57,2.101,0,2.101,0,
2.104,133.57,2.104,0,2.104,0,
2.107,133.5681,2.107,0,2.107,0,
2.111,133.5562,2.111,0,2.111,0,
2.114,133.54,2.114,0,2.114,0,
2.117,133.54,2.117,0,2.117,0,
2.121,133.5381,2.121,0,2.121,0,
2.124,133.5282,2.124,0,2.124,0,
2.127,133.52,2.127,0,2.127,0,
2.131,133.52,2.131,0,2.131,0,
2.134,133.5182,2.134,0,2.134,0,
2.137,133.5081,2.137,0,2.137,0,
2.141,133.5,2.141,0,2.141,0,
2.144,133.5,2.144,0,2.144,0,
