date,open,high,low,close,volume,money
2006-05-19,220.66,228.83,218.75,226.38,926898.0,208534328.0
2006-05-22,225.02,226.38,221.21,223.66,941396.0,210183294.0
2006-05-23,222.02,222.29,213.58,213.85,858533.0,186638855.0
2006-05-24,214.12,225.29,213.85,218.75,965059.0,211921270.0
2006-05-25,218.75,224.75,215.21,223.38,774644.0,171703822.0
2006-05-26,224.75,244.91,224.2,239.18,2602875.0,612343275.0
2006-06-12,215.21,215.21,215.21,215.21,83279.0,17922730.0
2006-06-13,193.69,198.87,193.69,193.69,3183468.0,618648690.0
2006-06-14,193.42,195.6,186.61,194.24,1118761.0,214766014.0
2006-06-16,196.41,198.05,192.6,193.69,1073533.0,208844349.0
2006-06-19,192.06,194.78,185.25,192.6,737304.0,141334305.0
2006-06-20,192.33,195.05,189.88,193.96,742468.0,143171450.0
2006-06-21,193.96,196.41,192.87,195.6,877080.0,171001814.0
2006-06-22,195.6,203.77,194.78,201.59,1326405.0,266218316.0
2006-06-23,200.77,200.77,197.23,198.59,687310.0,136585602.0
2006-06-27,198.59,202.41,198.32,201.59,768154.0,153653547.0
2006-06-28,201.59,201.59,198.59,199.14,713966.0,142650825.0
2006-06-29,198.87,204.04,198.05,203.5,815410.0,164791271.0
2006-06-30,204.04,209.22,203.77,205.95,820920.0,169301151.0
2006-07-03,205.95,223.38,205.95,220.66,1194803.0,258392493.0
2006-07-04,220.93,222.29,213.85,219.03,842324.0,183715176.0
2006-07-05,219.03,224.2,217.94,219.3,982298.0,216430336.0
2006-07-06,219.3,219.3,214.67,216.57,775651.0,167413824.0
2006-07-07,216.57,216.57,206.49,210.04,959721.0,203779011.0
2006-07-19,200.23,204.32,192.06,194.78,454750.0,89717551.0
2006-07-20,194.78,197.78,193.69,195.33,219915.0,42991894.0
2006-07-21,195.6,200.23,195.6,196.14,235056.0,46545465.0
2006-07-24,195.33,198.32,192.06,197.78,153613.0,30064478.0
2006-07-25,197.5,199.41,196.41,196.96,258974.0,51096312.0
2006-07-26,196.96,197.5,193.96,195.05,299530.0,58427282.0
2006-07-27,194.78,196.96,190.97,192.33,522761.0,101244848.0
2006-07-28,192.06,193.96,187.15,189.6,408384.0,77385738.0
2006-07-31,187.97,188.51,182.25,183.07,420823.0,77544802.0
2006-08-01,183.34,185.25,179.8,182.52,249805.0,45597478.0
2006-08-02,182.52,186.61,181.16,185.79,236469.0,43451381.0
2006-08-03,186.88,187.97,183.88,186.34,174200.0,32417880.0
2006-08-04,186.61,187.42,181.7,181.7,149458.0,27579899.0
2006-08-07,181.16,184.7,178.44,178.71,198326.0,36052508.0
2006-08-08,179.8,185.25,179.8,184.97,231579.0,42337877.0
2006-08-09,185.25,186.06,183.07,183.61,143149.0,26382909.0
2006-08-10,183.34,186.88,182.79,186.61,175460.0,32607120.0
2006-08-11,187.42,187.42,185.25,185.79,117471.0,21891417.0
2006-08-14,186.06,189.33,184.7,185.52,222967.0,41631725.0
2006-08-15,185.79,188.51,183.88,187.97,171930.0,32108245.0
2006-08-16,188.51,192.33,187.97,191.51,261667.0,49959270.0
2006-08-17,191.51,193.42,188.24,193.15,202718.0,38682607.0
2006-08-18,193.15,193.42,187.42,188.79,248188.0,47248738.0
2006-08-21,186.06,193.42,181.43,192.87,250914.0,47495778.0
2006-08-22,191.78,195.33,191.24,192.33,212120.0,40989443.0
2006-08-23,191.51,195.6,191.24,192.33,260753.0,50492127.0
2006-08-24,192.6,192.87,188.51,191.78,303392.0,57908686.0
2006-08-25,191.78,192.6,189.6,190.42,140227.0,26733397.0
2006-08-28,190.69,200.23,189.6,198.32,584970.0,114795521.0
2006-08-29,198.59,201.32,195.05,196.41,385013.0,76297695.0
2006-08-30,196.41,197.5,194.78,196.41,187864.0,36871534.0
2006-08-31,196.41,199.68,195.05,196.96,264419.0,52130882.0
2006-09-01,196.41,196.96,190.97,192.33,227207.0,43900416.0
2006-09-04,192.33,193.96,191.78,193.42,169015.0,32643338.0
2006-09-05,193.69,197.5,192.33,193.96,415745.0,81033670.0
2006-09-06,193.69,195.33,192.6,195.05,217903.0,42259942.0
2006-09-07,195.05,199.68,193.42,196.14,485141.0,95753857.0
2006-09-08,196.14,197.78,194.78,196.96,280436.0,55096294.0
2006-09-11,194.51,202.95,194.51,202.14,743214.0,148930477.0
2006-09-12,202.14,205.13,200.5,202.41,486770.0,98758624.0
2006-09-13,202.14,206.49,200.23,201.59,637272.0,130265463.0
2006-09-14,201.59,209.49,201.32,204.32,705365.0,144576330.0
2006-09-15,204.32,208.4,202.95,207.86,719297.0,148741293.0
2006-09-18,209.76,210.58,205.95,207.58,437621.0,90988712.0
2006-09-19,207.58,213.03,206.49,210.04,570931.0,120214181.0
2006-09-20,209.76,210.58,207.86,209.22,311086.0,65001348.0
2006-09-21,209.22,213.3,209.22,210.04,404493.0,85330748.0
2006-09-22,210.31,212.49,201.59,204.04,602578.0,124453096.0
2006-09-25,202.14,208.67,201.86,206.77,373524.0,76750129.0
2006-09-26,206.22,207.31,204.32,206.22,235519.0,48444428.0
2006-09-27,206.22,220.12,205.4,218.21,928938.0,199228111.0
2006-09-28,217.94,218.48,213.85,216.57,571631.0,123553056.0
2006-09-29,216.85,225.02,216.03,222.29,968251.0,214527258.0
2006-10-09,226.65,238.1,226.11,236.73,1299730.0,302137421.0
2006-10-13,236.46,257.44,235.64,246.0,1983868.0,489180030.0
2006-10-16,246.27,250.63,240.55,240.82,904704.0,221181024.0
2006-10-17,240.0,246.81,237.28,244.91,739631.0,179342843.0
2006-10-18,244.36,250.08,242.18,247.63,641580.0,158167203.0
2006-10-19,247.9,247.9,243.0,243.82,479796.0,117801810.0
2006-10-20,242.73,249.26,242.45,247.08,676912.0,167203645.0
2006-10-23,247.36,253.9,242.73,246.0,901763.0,224924014.0
2006-10-24,245.45,258.8,245.18,256.35,1280140.0,323768463.0
2006-10-25,256.35,263.16,255.53,258.8,1102011.0,286050328.0
2006-10-26,260.43,269.15,256.62,267.52,1507936.0,399375514.0
2006-10-27,266.7,279.23,264.25,266.15,1584508.0,429461938.0
2006-10-30,261.25,267.79,251.99,256.07,1133278.0,291953919.0
2006-10-31,256.07,263.16,254.71,260.16,805925.0,209225689.0
2006-11-01,260.16,261.25,251.72,253.35,777885.0,198877967.0
2006-11-02,253.35,254.99,247.9,254.99,682417.0,171511742.0
2006-11-03,254.17,266.7,252.26,260.98,895905.0,233758020.0
2006-11-06,256.62,271.88,255.53,268.61,852551.0,226980323.0
2006-11-07,269.15,275.96,268.06,273.24,877223.0,238848824.0
2006-11-08,273.24,277.05,268.61,273.51,978335.0,267855767.0
